"t","tested","positive"
0,9923,2258
30,10081,2305
60,9999,2014
90,9869,1812
120,9887,1633
150,10033,1648
180,9969,1575
210,9920,1866
240,9968,1930
270,9866,2247
300,10113,2658
330,9956,2766
360,9979,2788
390,10086,2902
420,9990,2862
450,9774,2934
480,10121,3138
510,9983,3569
540,10071,3602
570,10121,3781
600,10107,3699
630,10025,3660
660,10073,3464
690,10003,3202
720,10036,2813
750,10160,2635
780,9973,2660
810,10022,2583
840,9898,2724
870,9937,3004
900,9883,3258
930,9946,3261
960,9963,3267
990,9958,3069
1020,10079,3077
1050,10065,3144
1080,10003,3195
1110,10012,3411
1140,9762,3598
1170,10016,3739
1200,10036,3484
1230,10049,3516
1260,9736,3195
1290,9994,3022
1320,9971,2726
1350,9956,2478
1380,10110,2285
1410,10154,2113
1440,9953,1910
1470,10070,1907
1500,9972,1828
1530,10129,1702
1560,9815,1551
1590,9947,1473
1620,10016,1489
1650,9964,1469
1680,10105,1567
1710,10066,1572
1740,10181,1632
1770,9948,1680
1800,10095,1893
