"t","tested","positive"
0,10172,8116
1,9958,7925
2,9823,7798
3,9954,7936
4,9868,7781
5,10182,8007
6,9869,7760
7,10092,7933
8,9888,7682
9,10187,7924
10,9920,7812
11,10018,7907
12,10021,7988
13,9922,7838
14,10105,8010
15,9994,8078
16,10004,8107
17,10069,8041
18,9802,7917
19,10007,8011
20,10301,8358
21,10002,8117
22,10077,8224
23,9802,7957
24,9912,8103
25,10021,8262
26,9937,8218
27,9945,8203
28,9912,8142
29,10149,8412
30,9968,8252
31,9984,8235
32,10044,8313
33,10081,8382
34,9962,8269
35,10137,8437
36,10016,8243
37,10180,8528
38,10061,8364
39,9821,8237
40,10161,8457
41,9909,8281
42,10048,8434
43,9951,8315
44,10109,8470
45,10041,8408
46,9912,8304
47,10028,8382
48,9788,8150
49,9964,8381
50,10077,8455
51,9854,8344
52,10144,8528
53,10037,8505
54,9932,8385
55,10018,8456
56,9973,8439
57,10064,8572
58,10013,8485
59,9922,8483
60,10120,8594
61,9960,8512
62,10012,8543
63,10011,8595
64,10056,8538
65,10028,8573
66,10168,8733
67,9993,8509
68,9925,8505
69,9977,8576
70,9976,8611
71,9921,8612
72,9825,8498
73,9995,8564
74,9957,8619
75,10046,8670
76,10080,8745
77,10089,8744
78,10028,8828
79,10009,8706
80,9888,8591
81,10206,8978
82,10171,8998
83,9819,8710
84,10270,9139
85,9884,8873
86,10069,9075
87,9973,9047
88,9897,8996
89,9932,9046
90,9871,9042
91,10048,9279
92,9890,9140
93,9979,9217
94,10177,9409
95,9901,9190
96,10113,9467
97,10059,9415
98,10059,9446
99,10038,9440
100,10035,9476
101,10040,9449
102,10097,9522
103,9969,9414
104,9862,9349
105,10105,9572
106,9929,9397
107,9901,9409
108,10037,9525
109,10175,9663
110,9951,9431
111,10080,9553
112,10115,9600
113,9966,9471
114,9974,9476
115,10048,9538
116,9944,9389
117,9860,9354
118,10138,9614
119,10033,9512
120,10005,9520
121,10013,9481
122,9889,9371
123,10033,9532
124,10074,9543
125,10003,9482
126,9986,9461
127,10150,9606
128,9721,9205
129,9892,9365
130,9990,9410
131,9733,9204
132,9980,9455
133,10026,9520
134,9923,9350
135,9885,9307
136,10230,9652
137,9950,9420
138,10008,9445
139,9949,9384
140,9989,9429
141,10093,9485
142,9873,9284
143,9980,9421
144,10038,9450
145,10021,9438
146,10057,9455
147,10061,9481
148,10094,9520
149,10119,9525
150,9982,9437
151,9965,9404
152,10079,9480
153,10056,9434
154,10085,9480
155,9982,9343
156,10187,9577
157,9883,9263
158,9968,9390
159,9952,9340
160,9899,9259
161,9909,9227
162,9878,9247
163,9954,9319
164,10051,9475
165,9974,9303
166,10025,9365
167,10008,9391
168,10080,9429
169,9958,9313
170,9928,9314
171,10019,9333
172,10031,9400
173,9921,9240
174,10222,9549
175,9926,9243
176,9935,9262
177,10142,9422
178,10054,9275
179,9750,8994
180,9891,9146
181,10086,9322
182,9878,9122
183,10025,9254
184,10227,9391
185,10116,9281
186,9872,9047
187,9910,9057
188,10012,9121
189,9989,9146
190,10103,9170
191,10025,9104
192,10013,9073
193,10010,9039
194,10035,9079
195,9914,8978
196,9989,9011
197,9752,8759
198,9917,8895
199,10155,9190
200,9931,8951
201,9939,8874
202,10055,8984
203,9911,8859
204,10207,9050
205,10010,8923
206,9837,8758
207,9854,8764
208,9953,8862
209,9914,8793
210,9815,8715
211,9997,8857
212,10008,8805
213,10157,8972
214,9895,8769
215,10154,8974
216,10050,8853
217,9940,8736
218,10081,8885
219,10062,8913
220,10099,8944
221,10136,8909
222,10042,8831
223,10087,8865
224,9868,8659
225,9786,8478
226,10004,8723
227,10049,8766
228,10167,8883
229,10032,8782
230,10081,8764
231,10065,8783
232,9964,8707
233,10017,8752
234,9955,8623
235,10198,8870
236,9982,8565
237,9979,8617
238,10132,8756
239,9887,8550
240,9926,8560
241,10053,8693
242,9776,8403
243,10015,8644
244,10079,8662
245,10063,8630
246,10145,8746
247,9988,8562
248,9833,8397
249,10189,8673
250,10091,8581
251,9999,8530
252,10137,8533
253,10006,8498
254,9927,8402
255,9965,8437
256,10008,8429
257,10054,8484
258,9894,8342
259,9928,8379
260,10147,8507
261,9955,8344
262,9997,8485
263,9904,8321
264,10127,8460
265,9934,8277
266,9985,8353
267,9895,8309
268,9909,8272
269,9957,8184
270,10061,8353
271,10169,8373
272,10053,8325
273,10231,8417
274,9879,8175
275,9996,8302
276,10108,8349
277,9614,7881
278,10051,8259
279,9927,8150
280,10143,8272
281,9927,8095
282,10034,8183
283,10029,8225
284,9939,8128
285,9986,8207
286,10054,8245
287,10235,8410
288,10036,8195
289,9922,8062
290,9859,8052
291,10017,8200
292,9863,8051
293,10077,8283
294,10254,8370
295,10015,8233
296,10225,8403
297,9902,8180
298,10077,8359
299,10000,8338
300,10094,8424
301,9965,8340
302,10081,8459
303,9960,8380
304,10029,8494
305,9994,8480
306,9943,8417
307,9846,8351
308,10028,8583
309,9884,8465
310,9954,8529
311,9964,8594
312,10074,8670
313,9875,8526
314,9861,8537
315,10006,8705
316,10086,8815
317,10148,8932
318,10139,8835
319,9923,8726
320,10180,8914
321,10064,8832
322,10099,8956
323,10111,8887
324,10058,8923
325,10042,8904
326,10088,8907
327,9806,8653
328,9838,8744
329,9957,8811
330,10296,9142
331,9971,8853
332,9885,8825
333,10072,8900
334,9993,8876
335,10070,8941
336,10078,8991
337,9950,8857
338,9994,8905
339,9757,8654
340,10071,8970
341,10065,8926
342,9987,8937
343,10103,8979
344,9972,8904
345,9973,8893
346,10034,8993
347,9955,8890
348,9984,8960
349,10003,8931
350,9958,8919
351,9975,8894
352,10008,8941
353,9998,8858
354,9963,8945
355,9782,8708
356,10003,8868
357,10194,9097
358,10123,8971
359,9861,8792
360,10075,8981
361,10035,8889
362,9873,8798
363,9851,8674
364,9905,8705
365,9945,8811
366,10111,8950
367,10093,8816
368,9937,8787
369,9996,8803
370,10071,8825
371,10137,8964
372,9880,8730
373,9887,8711
374,9843,8637
375,9953,8726
376,9913,8647
377,10063,8749
378,9884,8656
379,9923,8711
380,10111,8823
381,9911,8615
382,9928,8685
383,9994,8634
384,9999,8690
385,10018,8666
386,10094,8789
387,9985,8635
388,10129,8722
389,9894,8530
390,10048,8653
391,9964,8563
392,10099,8687
393,9858,8512
394,10016,8508
395,10093,8611
396,9839,8429
397,10038,8600
398,10197,8696
399,10047,8623
400,10000,8481
401,10080,8607
402,9804,8290
403,10182,8636
404,10213,8686
405,10016,8474
406,9983,8509
407,10046,8520
408,10036,8486
409,9900,8418
410,10002,8457
411,10107,8530
412,10023,8454
413,10030,8471
414,10043,8429
415,10031,8417
416,10044,8432
417,10063,8444
418,9988,8376
419,10136,8590
420,9898,8257
421,9986,8398
422,10047,8344
423,9916,8256
424,10069,8440
425,10021,8374
426,10037,8386
427,9942,8262
428,10101,8407
429,10007,8251
430,9856,8249
431,9808,8137
432,9954,8310
433,10033,8299
434,9907,8220
435,9878,8118
436,9801,8108
437,10046,8259
438,10065,8355
439,10121,8365
440,9956,8129
441,9950,8247
442,10029,8250
443,9803,8060
444,10002,8218
445,9982,8259
446,9946,8146
447,10080,8250
448,9905,8098
449,10022,8193
450,9973,8109
451,10035,8179
452,9953,8143
453,10028,8223
454,9888,8038
455,10058,8118
456,9837,7961
457,9942,8073
458,10088,8142
459,10210,8205
460,10160,8157
461,10070,8059
462,10029,8037
463,10008,7985
464,10047,8050
465,10046,7993
466,10125,7908
467,10038,7978
468,9939,7902
469,10037,7878
470,10064,7982
471,9933,7800
472,9936,7809
473,10111,7926
474,9921,7775
475,10097,7958
476,10133,7935
477,9997,7808
478,10146,7861
479,9738,7562
480,10018,7800
481,9915,7707
482,10135,7849
483,10176,7886
484,9810,7544
485,10237,7829
486,10060,7771
487,9949,7665
488,9934,7671
489,10243,7800
490,10172,7763
491,9874,7538
492,9889,7458
493,10224,7834
494,10037,7536
495,10097,7631
496,10046,7484
497,9977,7537
498,9948,7544
499,10039,7630
500,10009,7607
501,9971,7538
502,10055,7521
503,10150,7604
504,9972,7399
505,9972,7357
506,9991,7346
507,9920,7336
508,9938,7356
509,10230,7553
510,9868,7291
511,10169,7487
512,9959,7316
513,9978,7294
514,10068,7380
515,10102,7396
516,10073,7369
517,10049,7263
518,10089,7392
519,9901,7168
520,10061,7221
521,9962,7172
522,10035,7181
523,9983,7168
524,9941,7142
525,10054,7168
526,10142,7280
527,10051,7109
528,9966,7082
529,9976,7143
530,9930,7049
531,10044,7051
532,9856,6911
533,10128,7061
534,9942,6998
535,9987,6884
536,10041,6993
537,9941,6872
538,10111,6954
539,10132,6976
540,10018,6856
541,9945,6818
542,9980,6795
543,9886,6702
544,10080,6870
545,9925,6677
546,10062,6793
547,9786,6623
548,9888,6574
549,10091,6706
550,9986,6690
551,9970,6626
552,10067,6631
553,10081,6571
554,9953,6530
555,10007,6473
556,9981,6487
557,10347,6768
558,9919,6493
559,9905,6388
560,9982,6483
561,10106,6516
562,9968,6371
563,9997,6487
564,9859,6327
565,9948,6416
566,10099,6470
567,10112,6475
568,10136,6460
569,9994,6397
570,9931,6362
571,9929,6362
572,10124,6424
573,10199,6548
574,9931,6376
575,10046,6470
576,10046,6442
577,10086,6427
578,9999,6455
579,9991,6349
580,10044,6386
581,9910,6303
582,9874,6246
583,9864,6314
584,10089,6592
585,9916,6400
586,9876,6254
587,9828,6325
588,10056,6397
589,9932,6448
590,10020,6451
591,9934,6387
592,10014,6441
593,9915,6509
594,9987,6494
595,10058,6483
596,10140,6645
597,10023,6485
598,9972,6484
599,9741,6318
600,9909,6463
601,10056,6519
602,10123,6602
603,9811,6449
604,10125,6578
605,9940,6475
606,10082,6572
607,10086,6617
608,10153,6783
609,10014,6582
610,9820,6487
611,10059,6658
612,10148,6811
613,9890,6555
614,9996,6621
615,10103,6627
616,10254,6826
617,10029,6620
618,9929,6573
619,10043,6665
620,10058,6779
621,9933,6680
622,10083,6818
623,10129,6766
624,9946,6775
625,9891,6715
626,9987,6762
627,9947,6779
628,10024,6890
629,10031,6936
630,10135,6997
631,9931,6848
632,10122,7035
633,9939,6887
634,9946,6917
635,10126,7051
636,9848,6881
637,9999,7070
638,10146,7135
639,9925,7067
640,9965,7122
641,9924,7023
642,10245,7363
643,10141,7293
644,9857,7129
645,10047,7211
646,9941,7249
647,9986,7281
648,10016,7275
649,10179,7376
650,10046,7370
651,10110,7512
652,10068,7410
653,10020,7467
654,9927,7328
655,9854,7429
656,9993,7433
657,10143,7623
658,10054,7576
659,9976,7547
660,9708,7315
661,10000,7588
662,9936,7462
663,9962,7532
664,10133,7716
665,9957,7552
666,9874,7559
667,9915,7596
668,10107,7783
669,10170,7774
670,9864,7559
671,10066,7793
672,10039,7630
673,9989,7747
674,9848,7620
675,9677,7557
676,9934,7737
677,10127,7894
678,9966,7710
679,9932,7734
680,9991,7836
681,10244,8003
682,9878,7753
683,9823,7649
684,10149,7983
685,9843,7755
686,10069,7904
687,9909,7772
688,10026,7878
689,10147,8010
690,10006,7889
691,9921,7782
692,9984,7830
693,9997,7845
694,10068,7873
695,10045,7932
696,10012,7837
697,9839,7757
698,10058,7955
699,9894,7815
700,9974,7887
701,9975,7780
702,10118,7936
703,9815,7747
704,10199,8070
705,10091,7948
706,9903,7832
707,9937,7884
708,10102,7956
709,9985,7793
710,9825,7683
711,9830,7725
712,10077,7964
713,9993,7900
714,9906,7734
715,10099,7986
716,9973,7905
717,9855,7729
718,9975,7959
719,9824,7798
720,10078,8102
721,10226,8172
722,10002,7945
723,9962,7907
724,9729,7819
725,10038,8062
726,9891,7938
727,9925,7958
728,9924,7984
729,10121,8166
730,9912,7977
731,10044,8140
732,10055,8145
733,10158,8213
734,10052,8150
735,9967,8064
736,10096,8216
737,10116,8240
738,9938,8114
739,10128,8279
740,10106,8296
741,10005,8263
742,10099,8368
743,9983,8248
744,9961,8308
745,10060,8418
746,9922,8293
747,10091,8480
748,10103,8534
749,10156,8558
750,10044,8575
751,9962,8562
752,10020,8597
753,10123,8725
754,10061,8694
755,9989,8648
756,10013,8697
757,10049,8717
758,9932,8652
759,10129,8825
760,9936,8709
761,9930,8738
762,10006,8869
763,9897,8797
764,9781,8706
765,9912,8832
766,9921,8870
767,10007,8921
768,10102,9038
769,10112,9020
770,10063,8968
771,9900,8902
772,10071,8988
773,10137,9097
774,10052,8983
775,10039,9029
776,9980,8888
777,10032,8997
778,9880,8762
779,10105,9013
780,10025,8963
781,10022,8956
782,9894,8789
783,9893,8855
784,9966,8835
785,9922,8838
786,10084,8951
787,9929,8743
788,10105,8961
789,9974,8877
790,10107,8947
791,9780,8643
792,9933,8737
793,9821,8634
794,9854,8705
795,9883,8625
